City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,rio tercero,-32.173,-64.1141,67.8,30,0,7.65,AR,1651348350
84,hithadhoo,-0.6,73.0833,85.32,68,100,14.65,MV,1651348351
85,jacareacanga,-6.2222,-57.7528,85.32,69,98,2.08,BR,1651348351
86,man,7.4125,-7.5538,72.43,98,83,3.22,CI,1651348352
87,tivaouane,14.9515,-16.8129,73.74,68,72,12.06,SN,1651348352
88,biak,-0.9131,122.8766,76.53,86,97,3.38,ID,1651348353
89,marsa matruh,31.3525,27.2453,66.4,72,0,6.91,EG,1651348353
90,fairbanks,64.8378,-147.7164,54.09,39,0,6.91,US,1651348354
91,port alfred,-33.5906,26.891,58.17,81,1,1.99,ZA,1651348354
92,esperance,-33.8667,121.9,55.24,69,0,6.64,AU,1651348078
93,sitka,57.0531,-135.33,49.89,66,20,5.75,US,1651348355
94,bilma,18.6853,12.9164,95.68,8,62,5.73,NE,1651348355
95,santa maria,-29.6842,-53.8069,63.7,77,0,8.05,BR,1651348356
96,mount gambier,-37.8333,140.7667,55.31,100,100,9.22,AU,1651348356
97,miedzychod,52.5988,15.897,51.39,57,100,4.36,PL,1651348357
98,upernavik,72.7868,-56.1549,19.26,71,74,3.18,GL,1651348357
99,acton,51.509,-0.2762,59.09,57,0,5.75,GB,1651348358
100,cape town,-33.9258,18.4232,60.91,79,0,5.01,ZA,1651348358
101,celestun,20.8667,-90.4,83.61,69,27,12.03,MX,1651348358
102,bay roberts,47.5999,-53.2648,45.52,93,100,4.0,CA,1651348359
103,forbes,-33.3833,148.0167,44.92,73,0,5.01,AU,1651348359
104,kieta,-6.2167,155.6333,78.4,82,100,3.15,PG,1651348360
105,coihaique,-45.5752,-72.0662,52.41,71,75,8.05,CL,1651348360
106,atuona,-9.8,-139.0333,78.89,76,7,13.38,PF,1651348361
107,omboue,-1.5746,9.2618,79.38,91,100,7.4,GA,1651348361
108,grand-santi,4.25,-54.3833,82.17,71,71,3.49,GF,1651348362
109,butaritari,3.0707,172.7902,80.82,82,74,13.73,KI,1651348362
110,senanga,-16.1167,23.2667,63.97,49,0,4.25,ZM,1651348362
111,nanning,22.8167,108.3167,64.85,91,100,7.65,CN,1651348363
112,mar del plata,-38.0023,-57.5575,57.22,55,0,11.5,AR,1651348109
113,constitucion,-35.3333,-72.4167,60.21,52,2,15.05,CL,1651348364
114,pundaguitan,6.3711,126.1689,79.54,83,99,6.93,PH,1651348364
115,yar-sale,66.8333,70.8333,16.09,89,33,9.57,RU,1651348237
116,banos,-1.4,-78.4167,63.1,98,100,2.51,EC,1651348365
117,saskylakh,71.9167,114.0833,10.72,93,100,16.37,RU,1651348365
118,college,64.8569,-147.8028,54.09,39,75,6.91,US,1651348182
119,aquin,18.2833,-73.4,80.13,70,90,2.98,HT,1651348366
120,geraldton,-28.7667,114.6,55.81,71,0,11.5,AU,1651348366
121,taltal,-25.4,-70.4833,65.1,73,24,7.11,CL,1651348281
122,kendari,-3.945,122.4989,75.02,94,28,1.99,ID,1651348367
123,tuktoyaktuk,69.4541,-133.0374,30.2,80,20,9.22,CA,1651348367
124,belfast,54.5833,-5.9333,51.62,93,75,14.97,GB,1651348080
125,visby,57.6409,18.296,43.02,65,100,3.44,SE,1651348368
126,ribeira grande,38.5167,-28.7,64.8,77,20,10.36,PT,1651348244
127,yumen,40.2833,97.2,45.3,30,0,3.53,CN,1651348368
128,nanortalik,60.1432,-45.2371,38.01,84,98,1.14,GL,1651348369
129,pavlodar,52.3,76.95,51.6,50,0,8.95,KZ,1651348369
130,castro,-24.7911,-50.0119,67.35,86,43,1.05,BR,1651348370
131,tasiilaq,65.6145,-37.6368,41.16,63,10,0.56,GL,1651348155
132,caravelas,-17.7125,-39.2481,76.86,74,2,4.72,BR,1651348370
133,la ronge,55.1001,-105.2842,39.45,75,100,8.05,CA,1651348371
134,necochea,-38.5473,-58.7368,57.31,43,8,7.74,AR,1651348371
135,zheleznodorozhnyy,55.7503,38.0042,41.22,60,47,3.27,RU,1651348372
136,huarmey,-10.0681,-78.1522,72.37,74,68,11.63,PE,1651348372
137,chokurdakh,70.6333,147.9167,12.56,94,31,7.94,RU,1651348085
138,ulundi,-28.3352,31.4162,56.39,90,8,5.28,ZA,1651348373
139,georgetown,5.4112,100.3354,82.35,89,20,3.44,MY,1651348075
140,swan hill,-35.3378,143.5544,51.82,76,7,5.17,AU,1651348373
141,dauphin,51.1494,-100.0502,46.54,66,0,13.8,CA,1651348374
142,muros,42.7762,-9.0603,58.84,91,1,2.21,ES,1651348374
143,taicheng,38.731,113.228,41.7,25,0,4.61,CN,1651348375
144,san ramon,37.7799,-121.978,78.82,57,0,13.8,US,1651348088
145,sao filipe,14.8961,-24.4956,72.34,75,83,8.41,CV,1651348235
146,vestmannaeyjar,63.4427,-20.2734,46.51,85,25,18.23,IS,1651348376
147,rockhampton,-23.3833,150.5,66.09,88,75,3.44,AU,1651348376
148,ibanda,-2.7974,32.4746,64.56,88,55,1.92,TZ,1651348376
149,carnarvon,-24.8667,113.6333,64.47,55,0,8.05,AU,1651348282
150,port moresby,-9.4431,147.1797,74.62,94,40,2.3,PG,1651348246
151,husavik,66.0449,-17.3389,50.7,56,100,7.11,IS,1651348377
152,kirkwall,58.9848,-2.9587,46.45,93,40,13.8,GB,1651348145
153,comodoro rivadavia,-45.8667,-67.5,49.86,66,40,11.5,AR,1651348378
154,airai,-8.9266,125.4092,59.67,84,87,3.02,TL,1651348378
155,nador,35.174,-2.9287,62.85,82,0,2.3,MA,1651348379
